id,uuid,Title,Description,Tags,Creator,Source,Language,Font,License
0001,c1e01e6b-8062-41e9-bcc8-9822429d553c,Rock Cycle,Rock cycle diagram showing rock types and processes,rocks,"Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://darkwing.uoregon.edu/~drt/Classes/201_99/Rice/Metamorphic.html,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0002,e90fc3cc-e4bd-4a80-b973-e106016d4ace,Magmatic Environments,Diagram showing intrusive/plutonic and extrusive/volcanic magmatic environments ,"igneous materials and processes, igneous intrusions, volcanoes","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu","Fig. 6.3, Earth: Portrait of a Planet, by Stephen Marshak, 6th ed.",Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0003,9fbe44f5-2a98-4090-8296-54f1fc53b87c,Volcano Types,"Diagram showing 2-D profiles of shield, cinder cone, stratovolcano/composite cone, and lava dome volcano types.  Maximum heights are included for each type.","igneous materials and processes, volcanoes","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",(none),Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0004,e514c283-9db0-4674-bb7d-796b719f1ccf,Continental Subduction Zone,2-D diagram of a continental subduction zone. ,plate tectonics,"Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://www.usgs.gov/media/images/subduction-fault-zone-diagram,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0005,b6ce7d3f-1918-4c04-8161-91936333faa6,Mid-ocean Ridge,"2-D image of an oceanic subduction zone, showing crustal, lithospheric and asthenospheric mantle layers, an island arc, and an adjacent continent  ",plate tectonics,"Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",(none),Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0006,fff994fa-07db-43c5-b809-26b360ba2862,Oceanic Subduction Zone,"2-D image of an oceanic subduction zone, showing crustal, lithospheric and asthenospheric mantle layers, an island arc, and an adjacent continent  ",plate tectonics,"Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://www.usgs.gov/media/images/block-diagram-a-subduction-zone,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0007,d434f9fb-68a7-46b3-af03-adf0e4ec591b,Fold Types,"2-D diagram of anticline, syncline, and monocline fold types",structures,"Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",(none),Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0008,b780b7a6-2406-45d4-a8b9-fc6371b10330,Cross-bedding,"diagram of cross-bedding, showing masterbeds and cross-beds",sedimentary materials and processes,"Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",(none),Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0009,60ff3497-7b7d-431e-8131-7ec70e404e23,World Map (Mercator),map of the world (Mercator projection),maps,"Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://milvarusso.com/blog/58-some-nice-hotel-renaissance-phuket-resort-amp-spa/,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0010,d56f24f5-c1aa-443d-8d75-6c2540020944,Silicate Mineral Structures,"types of silicate mineral structures, including isolated tetrahedra, single- and double-chain, sheet, and framework ",minerals,"Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",(none),Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0011,e3e71fda-b7d0-443f-bd0c-fec8bdbf597c,Bowen's Reaction Series,"Bowen's reaction series diagram, showing relative temperature ranges of common rock-forming silicate minerals",igneous materials and processes,"Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu","Earth: Portrait of a Planet, by Stephen Marshak",Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0012,920d2cf6-ff3c-4185-89be-5ce459d36436,Tectonic Plates (with continents),map of tectonic plates and continents,"maps, plate tectonics","Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://milvarusso.com/blog/58-some-nice-hotel-renaissance-phuket-resort-amp-spa/; https://commons.wikimedia.org/wiki/File:Tectonic_plates.png,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
0013,f300783a-7764-47b9-9494-3ff144706158,World Map (Equirectangular),map of the world (Equirectangular projection),maps,"Kent Ratajeski, University of Kentucky, kent.ratajeski@uky.edu",https://vemaps.com/uploads/img/large/wrld-13.jpg,Grade 2 (contracted) Braille,"Swell Braille, 24 pt, download from https://www.tsbvi.edu/download-braille-and-asl-specialty-fonts",cc-by-4
